bouwdeel,niveau,maatregel,Zst_Egw_Ind,Zst_Egw_Prj,Zst_Mgw_Ind,Zst_Mgw_Prj,Nat_Egw_Ind,Nat_Egw_Prj,Nat_Mgw_Ind,Nat_Mgw_Prj,R_RV,Rc_U_Qv10_waarde
RB,N0,Glas U=5.8 (enkel),,,,,,,,,0,5.8
RB,N1,Glas U=2.7 (dubbel),,,,,,,,,53.448,2.7
RB,N2,Glas U=1.6 (HR),160.96,146.59,205.63,192.77,45.06,41.01,57.05,51.91,72.414,1.6
RB,N3,Glas U=1.2 (HR++),158.31,143.95,202.99,190.13,46.61,42.12,58.59,53.03,79.31,1.2
RB,N4,Glas U=0.8 (triple),432.40,411.18,536.91,514.57,294.55,283.65,368.81,354.51,86.207,0.8
RO,N0,Glas U=5.8 (enkel),,,,,,,,,0,5.8
RO,N1,Glas U=2.7 (dubbel),,,,,,,,,53.448,2.7
RO,N2,Glas U=1.6 (HR),160.96,146.59,205.63,192.77,45.06,41.01,57.05,51.91,72.414,1.6
RO,N3,Glas U=1.2 (HR++),158.31,143.95,202.99,190.13,46.61,42.12,58.59,53.03,79.31,1.2
RO,N4,Glas U=0.8 (triple),432.40,411.18,536.91,514.57,294.55,283.65,368.81,354.51,86.207,0.8
DR,N0,Deur U=3.45,,,,,,,,,0,3.45
DR,N1,Deur U=3.45,,,,,,,,,0,3.45
DR,N2,Deur U=3.45,,,,,,,,,0,3.45
DR,N3,Deur U=3.45,,,,,,,,,0,3.45
DR,N4,Deur U=0.69,816.63,759.38,830.08,772.82,706.18,652.69,706.18,652.69,80,0.69
PL,N0,Paneel RC=0.24,,,,,,,,,0,0.24
PL,N1,Paneel RC=1.3,158.28,114.01,158.28,114.01,104.57,74.04,104.57,74.04,72.109,1.3
PL,N2,Paneel RC=2.0,166.17,119.34,166.17,119.34,111.94,79.01,111.94,79.01,81.106,2
PL,N3,Paneel RC=3.5,183.07,130.75,183.07,130.75,127.73,89.68,127.73,89.68,88.828,3.5
PL,N4,Paneel RC=5.0,199.98,142.17,199.98,142.17,143.52,100.34,143.52,100.34,92.07,5
VL,N0,Vloer RC=0.15,,,,,,,,,0,0.15
VL,N1,Vloer RC=0.52,,,,,,,,,43.023,0.52
VL,N2,Vloer RC=1.26,43.14,41.02,51.00,48.48,34.87,33.49,39.30,37.35,69.375,1.26
VL,N3,Vloer RC=3.5,63.54,56.32,70.96,63.97,53.93,47.78,57.95,51.82,87.24,3.5
VL,N4,Vloer RC=5.0,79.84,73.95,87.58,81.32,69.16,64.26,73.47,68.03,90.824,5
MG,N0,Gevel RC=0.19,,,,,,,,,0,0.19
MG,N1,Gevel RC=0.19,,,,,,,,,0,0.19
MG,N2,Gevel RC=0.19,,,,,,,,,0,0.19
MG,N3,Gevel RC=3.5,149.95,141.36,156.97,129.15,125.87,118.58,131.55,106.83,90.191,3.5
MG,N4,Gevel RC=6.0,183.12,173.22,192.81,182.08,156.86,148.35,165.04,155.85,94.165,6
MS,N0,Spouw RC=0.36,,,,,,,,,0,0.36
MS,N1,Spouw RC=1.3,20.14,18.38,20.92,19.14,17.92,16.58,17.99,16.64,63.946,1.3
MS,N2,Spouw RC=1.8,24.89,22.50,25.78,23.26,22.36,20.43,22.43,20.49,73.096,1.8
MS,N3,Spouw RC=3.5,60.97,54.98,64.29,57.92,54.42,49.28,54.49,49.35,85.559,3.5
MS,N4,Spouw RC=6.0,94.68,85.32,97.99,88.26,88.13,79.62,88.20,79.69,91.41,6
DP,N0,Dak RC=0.22,,,,,,,,,0,0.22
DP,N1,Dak RC=0.86,,,,,,,,,64,0.86
DP,N2,Dak RC=1.33,216.12,215.17,215.25,214.41,63.55,63.18,63.55,63.18,75.51,1.33
DP,N3,Dak RC=3.5,278.76,274.27,277.88,273.51,73.52,71.99,73.52,71.99,90.11,3.5
DP,N4,Dak RC=8.0,294.40,287.79,293.52,287.03,96.11,92.47,96.11,92.48,95.577,8
DS,N0,Dak RC=0.22,,,,,,,,,0,0.22
DS,N1,Dak RC=0.86,,,,,,,,,64,0.86
DS,N2,Dak RC=1.33,68.55,64.33,68.55,64.33,57.18,53.60,57.18,53.60,75.51,1.33
DS,N3,Dak RC=3.5,79.94,76.18,79.94,76.18,67.82,65.76,67.82,64.66,90.11,3.5
DS,N4,Dak RC=8.0,105.05,100.07,105.05,100.07,91.28,86.99,91.28,86.99,95.577,8
KR,N0,Kier Qv10 3.0,,,,,,,,,0,3
KR,N1,Kier Qv10 1.8,,,,,,,,,38.157,1.8
KR,N2,Kier Qv10 1.2,6.42,5.20,3.29,3.11,4.90,4.25,2.37,2.30,73.967,1.2
KR,N3,Kier Qv10 0.7,8.19,7.27,4.48,4.27,6.49,6.12,3.52,3.45,76.629,0.7
KR,N4,Kier Qv10 0.4,5.55,4.98,6.44,5.99,3.97,3.92,5.04,4.99,86.634,0.4
